Date,Monthly_Consumption
1/15/2012,2756180
2/15/2012,2500654
3/15/2012,2127761
4/15/2012,1953071
5/15/2012,1873835
6/15/2012,1868356
7/15/2012,2069773
8/15/2012,2008815
9/15/2012,1807208
10/15/2012,1901084
11/15/2012,2167841
12/15/2012,2503907
1/15/2013,2878785
2/15/2013,2567155
3/15/2013,2521108
4/15/2013,1967458
5/15/2013,1752469
6/15/2013,1742917
7/15/2013,1926330
8/15/2013,1927379
9/15/2013,1766973
10/15/2013,1866762
11/15/2013,2316909
12/15/2013,2920826
1/15/2014,3204129
2/15/2014,2741240
3/15/2014,2557890
4/15/2014,1961678
5/15/2014,1810222
6/15/2014,1745351
7/15/2014,1881017
8/15/2014,1933061
9/15/2014,1809291
10/15/2014,1912810
11/15/2014,2357521
12/15/2014,2679165
1/15/2015,3114982
2/15/2015,2925172
3/15/2015,2591329
4/15/2015,2007922
5/15/2015,1858149
6/15/2015,1899906
7/15/2015,2067714
8/15/2015,2052728
9/15/2015,1901337
10/15/2015,1987310
11/15/2015,2249140
12/15/2015,2588168
1/15/2016,3091695
2/15/2016,2652260
3/15/2016,2356298
4/15/2016,2083848
5/15/2016,1965799
6/15/2016,2000656
7/15/2016,2186616
8/15/2016,2208375
9/15/2016,1947752
10/15/2016,1925203
11/15/2016,2159445
12/15/2016,2866273
1/15/2017,2913823
2/15/2017,2340217
3/15/2017,2523331
4/15/2017,1932042
5/15/2017,1892010
6/15/2017,1910441
7/15/2017,2141595
8/15/2017,2093773
9/15/2017,1920466
10/15/2017,2031510
11/15/2017,2357258
12/15/2017,3086015
1/15/2018,3340935
2/15/2018,2710719
3/15/2018,2796708
4/15/2018,2350481
5/15/2018,2055019
6/15/2018,2063144
7/15/2018,2350719
8/15/2018,2313836
9/15/2018,2156063
10/15/2018,2285854
11/15/2018,2715942
12/15/2018,2999510
1/15/2019,3424302
2/15/2019,3019120
3/15/2019,2927812
4/15/2019,2212386
5/15/2019,2133985
6/15/2019,2119341
7/15/2019,2393904
8/15/2019,2433924
9/15/2019,2206252
10/15/2019,2306544
11/15/2019,2783754
12/15/2019,3170717
1/15/2020,3299777
2/15/2020,3041481
3/15/2020,2707481
4/15/2020,2240544
5/15/2020,2067048
6/15/2020,2130675
7/15/2020,2489307
8/15/2020,2401321
9/15/2020,2171842
10/15/2020,2320028
11/15/2020,2434877
12/15/2020,3167833
1/15/2021,3292364
2/15/2021,3041816
3/15/2021,2615634
4/15/2021,2238454
5/15/2021,2093777
6/15/2021,2214929
7/15/2021,2387996
8/15/2021,2410935
9/15/2021,2110187
10/15/2021,2237715
11/15/2021,2659971
12/15/2021,2980105
1/15/2022,3591889
